Genesys Architect – Master Expression Reference for Inbound Email Flows,,
,,
#,Expression,Use
— Email built-in variables —,,
1,Email.Message.to,Collection of recipient EmailAddress objects
2,Email.Message.to[0].address,Raw address string of the first recipient — the value to look up in your routing data table
3,Email.Message.to[0].name,Display name of the first recipient
4,Email.Message.from.address,Sender's raw email address
5,Email.Message.from.name,Sender's display name — useful for personalising auto-replies
6,Email.Message.cc,Collection of CC'd addresses
7,Count(Email.Message.cc),How many people were CC'd — flag mass emails
8,Email.Message.subject,Subject line string
9,Email.Message.body,Plain-text body
10,Email.Message.htmlBody,HTML body (when present)
11,Email.Message.dateSent,DateTime the email was sent
12,Email.Message.attachmentCount,Number of attachments — route claims/docs emails to specialist queues
13,Email.Message.attachmentNames,Collection of attachment filenames
14,Email.ConversationId,Conversation GUID — log it to participant data for reporting joins
15,Email.IsAutoGenerated,True for OOO/bounce/auto emails — check early and skip auto-ack to prevent mail loops
— Address parsing —,,
16,EmailAddressDomainPart(Email.Message.from.address),Domain after the @ — drives VIP/partner domain lookups
17,EmailAddressLocalPart(Email.Message.to[0].address),Part before the @ — route claims@ vs support@ without a table
18,ToLower(Trim(Email.Message.to[0].address)),Normalised recipient for case-safe data table key
19,ToLower(EmailAddressDomainPart(Email.Message.from.address)),Normalised sender domain
— String manipulation —,,
20,ToLower(s) / ToUpper(s),Case normalisation before any comparison
21,Trim(s),Strip leading/trailing whitespace (data table cells often have stray spaces)
22,Length(s),"String length — the standard ""is it populated"" test"
23,"Substring(s, start, len)","Extract fixed-position tokens, e.g. a reference number"
24,"Replace(s, ""FW: "", """")",Strip forward/reply prefixes before matching subjects
25,"Contains(haystack, needle)",True/false substring test — core of keyword scanning
26,"FindString(haystack, needle)","Index of substring (-1 if absent) — when you need position, not just presence"
27,"StartsWith(s, prefix) / EndsWith(s, suffix)","Match subject prefixes like ""URGENT:"" or ticket suffixes"
28,"Split(csv, "","")","CSV string → string collection, for looping over skills/keywords from a data table"
29,"Append(s1, s2) or s1 + s2","Concatenation — build skill expressions, reply subjects"
30,"Format(""Ref {0} priority {1}"", a, b)",Templated string building for logs/participant data
31,"Left(s, n) / Right(s, n)",First/last n characters — quick prefix/suffix extraction
— Null / empty safety —,,
32,IsSet(x),True if a variable has any value
33,IsNotSetOrEmpty(s),True when NOT_SET or empty string — safest guard on data table cells
34,"If(IsNotSetOrEmpty(x), ""default"", x)",Inline default-value pattern
35,NOT_SET,Literal for explicitly clearing a variable
— Type conversion —,,
36,ToInteger(s),Data tables return strings — always convert numeric columns before math
37,ToString(n),Number → string for concatenation/logging
38,ToBoolean(s),"Parse ""true""/""false"" data table cells"
39,ToDecimal(s),Parse decimal values
40,ToDateTime(s),Parse a date string into a DateTime
— Logic / math —,,
41,"If(cond, a, b)",Inline conditional — the workhorse of dynamic routing
42,"Max(a, b) / Min(a, b)",Take the higher of two boosts / cap values
43,"Max(1, Min(10, priority))",Clamp priority to the valid ACD 1–10 range
44,"And / Or / Not (&, or, !)",Compound decision conditions
45,a == b / a != b / > < >= <=,Comparisons in Decision actions
46,Round(x) / Floor(x) / Ceiling(x),Numeric rounding (e.g. computed wait-based boosts)
— Collections —,,
47,Count(coll),"Number of items — loop bounds, multi-recipient detection"
48,"GetAt(coll, i) or coll[i]",Index into a collection
49,"AddItem(coll, item)",Append to a collection while building lists in a loop
50,MakeEmptyList(ToString(NOT_SET)),Initialise an empty string collection
51,"MakeList(a, b, c)",Build a literal collection inline
52,"FindFirst(coll, value)",Index of first match in a collection (-1 if absent) — dedupe/membership test
— Date / time / business hours —,,
53,GetCurrentDateTimeUtc(),Current UTC timestamp
54,"AddHours(dt, 10) / AddMinutes(dt, n)",Timezone offset or SLA deadline math (AEST = UTC+10)
55,Day(dt) / Month(dt) / Year(dt),Date component extraction
56,DayOfWeek(dt),1–7 weekday — manual weekend routing if you're not using a Schedule Group
57,Hour(dt) / Minute(dt),Time-of-day checks
58,"AddDuration(dt, MakeDuration(...))",General date arithmetic
59,dt1 > dt2,DateTime comparison — e.g. is Email.Message.dateSent older than X (stale email escalation)
— Queue / skill / routing —,,
60,"FindQueue(""Queue Name"")",Resolve a queue name string → queue object at runtime (the expression form of the Find Queue action)
61,"FindSkill(""Skill Name"")",Resolve an ACD skill by name
62,"FindLanguageSkill(""English"")",Resolve a language skill by name
63,FindUser(id) / FindUserByEmail(addr),Resolve a user — for preferred-agent email routing
64,"Skill(""Support"")>0 & Skill(""VIP"")>0",Skill expression filter syntax for Transfer to ACD
65,FindQueueById(guid),Resolve queue by GUID if your data table stores IDs instead of names (rename-proof)
— Flow / system context —,,
66,Flow.VariableName,Your own flow variables
67,Flow.IsTest,True when running in the Architect debugger — branch to skip real auto-replies during testing
68,System.Conversation.Id,Conversation ID from the generic system namespace
69,"GetParticipantData(""attr"") / Set Participant Data action","Read/write conversation attributes — stamp routing decisions (final queue, priority, VIP flag) for Analytics and agent scripts"
— Useful composite patterns —,,
70,"Contains(ToLower(Email.Message.subject) + "" "" + ToLower(Email.Message.body), kw)",One-pass keyword match across subject and body
71,"If(Length(Flow.AfterHoursQueueName) > 0, Flow.AfterHoursQueueName, Flow.QueueName)",Optional-override fallback pattern
72,"Flow.SkillExpr + If(Length(Flow.SkillExpr)>0, ""&"", """") + ""Skill(\""VIP\"")>0""",Safely append a clause to a skill expression without a leading &
73,"Substring(Email.Message.subject, FindString(Email.Message.subject, ""REF-""), 12)",Extract a ticket/reference number from the subject
74,"Contains(Email.Message.from.address, ""noreply"") or Email.IsAutoGenerated",Belt-and-braces no-reply detection before sending an auto-ack
75,"Email.Message.attachmentCount > 0 and Contains(ToLower(Email.Message.subject), ""claim"")",Attachment + keyword combo routing
